NUM,EXPECTED,model_epoch_01_gs_6146_beam_width_5,# characters,edit distance
1,ずっと先のことだけどね,ずっと先のことだけどね,11,0
2,おなか減って死にそうだよ,同かってってにそうだよ,12,5
3,水野先生がおっしゃったように,みずの選成が大まったいように,14,10
4,治療法が見つかるかもしれない,地料法が見つかるかもしれない,14,2
5,お母さん代わってあげられなくてごめんね,おかさんかわわって上げられなくてごめんね,19,4
6,お前がそんなことでどうすんだよ,今前がそんなことで同数だそよ,15,6
7,あいつはそんなヤワじゃねえよ,いいつはそんなわわじゃねよよ,14,4
8,あいつが折れそうになったら,いいつがおれそうになったら,13,2
9,弘樹もここしょうゆついてる,年気もここ調務ついてる,13,6
10,わたしの世界はまるで変わってしまった,私の世界はまるでかわってしまった,18,4
11,後ろから答案用紙集めて,おろろかと当安用したつめて,11,8
12,今年遊んどかないともう遊べないよ,今年あんどこないともうあよえないよ,16,5
13,アクアトピアに乗りたい,アクアトピイニのリタイ,11,6
14,女ってよくしゃべんなあと思って,どんなってよくはベンなあと思って,15,7
15,カメの餌やりとか金魚の餌やりとか,カメの声やりとか金を声さらりとか,16,5
16,そんなの誰かに頼めばいいじゃない,そんなの誰かにたのメバイイジじない,16,8
17,薬の効果やリハビリの方法を,クスリの公化やりはビリの方法を,13,7
18,確認したいと思ってます,確認したいと思ってます,11,0
19,こんなふうに毎日少しずつ,こんな風に毎日少したつつ,12,4
20,何かができなくなっていくの,何かができなくなっていくの,13,0
21,目を閉じて次の日が来るのがこわい,目をと事定に日がくるのがこわい,16,6
22,朝が来て悪くなってるかもしれないと,さかがきてわるくなってるかもしれないと,17,5
23,でもお父さんが聞いたら大変だね,でもお当さんがきいたたた時件だね,15,6
24,だってわたし病気になっちゃったでしょ,だって私業期になっちゃったでしょ,18,5
25,だから先輩にも迷惑かけちゃうかも,だからセンパイにもメミアクかけ調画かも,16,11
26,不公平なことをしようとしてるのは,不藤へなことを使用としてるのは,16,5
27,花火大会ぐらい一緒に行くでしょ,はワイタイキアグライイショシにいくでしょ,15,15
28,できること自分から投げ出すなんて,できること時分からけが出すなんて,16,3
29,神様は不公平だなんて言った,カミママは不行平打なんていった,13,7
30,浴衣着て髪アップにしたら,組加的を明っプにしたら,12,7
31,先輩きっとびっくりするわよ,センパイキットビックリスルさり,13,15
32,お母さんの後光が見えてきたような気がする,お回さんのご公が見えてきたようなきがする,20,4
33,わたしは自分を信じて行動すればいい,私は自分を新じて公動すればいい,17,5
34,やっぱ夏は浴衣とスイカと,やっぱなつはいかたとすいかと,12,8
35,お友達もみんなついてるし,今もだちもみんなついてる,12,5
36,見つける必要があります,見つける必要があります,11,0
37,夏休みを利用して検査のための,夏山を利用して検査のための,14,2
38,入院をされてはいかがでしょうか,入院をされてはいかがでしょうか,15,0
39,効果には個人差があるので,こうかにはコジンさがあるので,12,7
40,少し長くなるかもしれないから,少しな学なるかもしれないから,14,2
41,お前たちもう遅いから寝なさい,大合たちもおおいいからねなさい,14,6
42,周りが目に入らなかったんだよ,回りが目にはいらなかったんだよ,14,3
43,リハビリを担当する田辺です,リはビリを担当するたなけです,13,4
44,ショックも考えてみろよ,ショックも考えてみよろ,11,2
